name,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
iris,0.6666666666666667,1.1702778228589004e-16,0.96,0.04661372658534006,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6266666666666667,0.04661372658534006,0.5866666666666667,0.10327955589886442,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.0,1.4142135623730951,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.4487534065700905
zoo,0.6036363636363635,0.011499191491521382,0.5736363636363636,0.05203834144855361,0.9200000000000002,0.09189365834726813,0.96,0.05163977794943222,0.9800000000000001,0.04216370213557838,0.40545454545454546,0.01724878723728206,0.5836363636363636,0.04551511116489354,10,4.8,2.0976176963403033,0.1,0.1221969200435623,88.03809523809524,60.738832261742,0.14285714285714285,0.053452248382484885,9,0.5625,0.0891089108910891,1.2857142857142858,0.4879500364742666,1.0,0.0,4.105263157894737,2.1316330943956574,0.13318105680701312,0.12789839346659077,0.2078125,0.17948735834469112,0.0625,0.10589291504453907
wine,0.6196078431372549,0.09631995292972285,0.6369281045751634,0.10810634458793991,0.9774509803921569,0.029125941127316323,0.9777777777777779,0.028688765527462363,0.7480392156862745,0.10056596266349803,0.5784313725490196,0.05515899303342992,0.6176470588235294,0.10665372570195479,12,3.75,0.7537783614444091,0.08333333333333333,0.1265510065295304,46.13333333333333,16.228668983305347,0.3333333333333333,0.16666666666666669,11,0.8461538461538461,0.06179775280898876,2.2,1.3038404810405297,1.5714285714285714,1.133893419027682,2.9565217391304346,1.2605287804426009,0.23891722674639074,0.17305714131305633,0.2864583333333333,0.08514832201766658,0.07692307692307693,0.13402617931937605
hayes-roth,0.4375,0.05103103630798288,0.45625,0.14746115307655325,0.55625,0.09969571761671166,0.7,0.15252504348102605,0.76875,0.11429888936954335,0.4875,0.06454972243679029,0.3375,0.06038073644245599,25,7.56,2.5508168626278653,0.04,0.03197085261088085,1154.1968253968255,922.5932613794242,0.3333333333333333,0.24440403706431146,24,6.0,0.15,2.4,1.429840705968481,6.0,1.632993161855452,6.73469387755102,2.6439830291632735,0.08896948028320784,0.11979540816679059,0.088046875,0.14556888399583537,0.25,0.1749583530098577
transplant,0.9478021978021977,0.11222339725206232,0.9478021978021977,0.11222339725206232,0.9692307692307693,0.07431475254456121,0.94010989010989,0.1108762226272441,0.9478021978021977,0.11222339725206232,0.771978021978022,0.10474044965884777,0.9478021978021978,0.07758523655668548,2,1.0,0.0,0.5,0.18892165909564243,4.0,0.0,0.5,0.0,1,0.3333333333333333,0.007633587786259542,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.3333333333333333,0.5773502691896258
kc1-top5,0.9252380952380953,0.06617543889179764,0.9257142857142858,0.07329828063513164,0.8761904761904763,0.07939681905015745,0.89,0.07268558838851918,0.9033333333333333,0.10905235543421132,0.9452380952380952,0.02894378179176264,0.9452380952380952,0.02894378179176264,8,3.125,0.6408699444616557,0.125,0.29812704508202975,23.333333333333332,5.656854249492381,0.5,0.0,7,0.07446808510638298,0.04827586206896552,1.75,0.9574271077563381,1.0,0.0,2.4,1.1212238211627763,0.24337065668081773,0.1481265199364758,0.359375,0.08010874305770696,0.010638297872340425,0.050214005219617955
kc1-binary,0.658095238095238,0.1886526467177989,0.6009523809523809,0.1353364274748779,0.6433333333333333,0.15686925034307966,0.6738095238095239,0.13952462213317726,0.5942857142857143,0.16277079303658762,0.5857142857142856,0.015058465048420858,0.5871428571428571,0.0919553278115258,22,5.181818181818182,1.4019158196439492,0.045454545454545456,0.07936841141023729,194.87619047619046,118.17202843160015,0.5,0.06428243465332248,21,0.22340425531914893,0.14482758620689656,3.0,1.4142135623730951,1.2352941176470589,0.43723731609760313,4.325581395348837,1.7555480792884157,0.14469624541433534,0.07160690024359485,0.1690340909090909,0.11978872573088602,0.010638297872340424,0.0402785526531994
datatrieve,0.9230769230769231,0.05128205128205128,0.876923076923077,0.08268982305947233,0.8769230769230768,0.039722906114947894,0.8076923076923077,0.0830864192103572,0.8384615384615385,0.04366509324596512,0.9153846153846155,0.024325212770526013,0.9153846153846155,0.024325212770526013,13,4.615384615384615,2.0223114472661203,0.07692307692307691,0.1381763444646921,124.01904761904763,142.13153032427562,0.5,0.16317848796612636,12,1.5,0.09230769230769231,1.5,0.7559289460184544,2.0,0.8944271909999159,3.84,2.1924111536540463,0.11285768786857539,0.13443720252321334,0.23978365384615385,0.1556428508323603,0.125,0.11767955338075478
MyIris,0.6666666666666667,1.1702778228589004e-16,0.9333333333333333,0.07027283689263064,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.6000000000000001,0.08314794192830981,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.0,1.4142135623730951,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.4487534065700905
KungChi3,0.862820512820513,0.09936242067361993,0.8461538461538464,0.09546285428926785,0.8865384615384615,0.11053639994085866,0.8134615384615385,0.08490464672632536,0.782051282051282,0.15698949304890505,0.8544871794871796,0.06207991263390678,0.8621794871794872,0.054664952160111226,12,4.583333333333333,2.151461800448216,0.08333333333333333,0.1732689033257541,118.68571428571427,136.28431266125614,0.5,0.11785113019775793,11,0.28205128205128205,0.08943089430894309,1.375,0.7440238091428449,1.2222222222222223,0.4409585518440984,3.8260869565217392,2.28934635198949,0.10527347861769407,0.15040561209145709,0.24934895833333334,0.167243191570411,0.02564102564102564,0.06104938988011207
KnuggetChase3,0.8347368421052632,0.07339961748767934,0.6928947368421052,0.18594029131949938,0.7734210526315789,0.06025811414322964,0.7886842105263157,0.0699563465871678,0.6902631578947368,0.10039970901209704,0.8042105263157893,0.03223490267468308,0.8042105263157895,0.04764700406110301,33,8.424242424242424,4.031363781574908,0.030303030303030304,0.058114950281240946,10780.226884226884,19579.2363768012,0.5,0.02142747821777415,32,0.8205128205128205,0.16494845360824742,2.1333333333333333,0.7432233529572065,1.4545454545454546,0.6709817063202619,7.569230769230769,4.107802144887027,0.052464165646028973,0.12283701854860841,0.10664691347064394,0.14420994135630263,0.025641025641025654,0.03549225903856232
MindCave2,0.7044871794871794,0.09012181186874282,0.5506410256410257,0.11215201128720761,0.6737179487179488,0.13252859548610982,0.7128205128205128,0.0913470910133362,0.583974358974359,0.12186794928665831,0.6487179487179487,0.02973081560842063,0.6173076923076923,0.10459396252934153,23,5.782608695652174,2.467175818975845,0.04347826086956523,0.06096561591676633,681.0049062049063,1249.58738530773,0.5,0.09223131928520183,22,0.5641025641025641,0.176,2.0,1.4142135623730951,1.375,0.6191391873668903,4.933333333333334,2.6577502447815458,0.08396075090294176,0.10525349749190308,0.16164232336956522,0.1246734583300409,0.02564102564102564,0.04141937124641352
breast-tissue,0.34909090909090906,0.0609384822799972,0.2818181818181818,0.11876313904403288,0.3481818181818182,0.1413596576139551,0.43,0.13985759515944526,0.35818181818181816,0.14246936744843441,0.36727272727272725,0.06272068476603761,0.29272727272727267,0.05501481560198894,43,6.651162790697675,2.068858909436294,0.02325581395348838,0.026230651568322057,1218.95873015873,1318.6191317063142,0.16666666666666666,0.034231631264836616,42,4.666666666666667,0.39622641509433965,4.2,2.250925735484551,4.666666666666667,2.179449471770337,5.741176470588235,2.366195163510552,0.1007404254289924,0.12415810849185689,0.1041061046511628,0.09800304391406334,0.1111111111111111,0.05419774505598637
fertility,0.8800000000000001,0.04216370213557838,0.6900000000000001,0.2024845673131659,0.8300000000000001,0.08232726023485648,0.8,0.10540925533894599,0.7999999999999999,0.13333333333333336,0.8800000000000001,0.04216370213557838,0.8800000000000001,0.04216370213557838,22,5.318181818181818,1.5239786161593025,0.045454545454545456,0.09440173892301089,215.4476190476191,131.6758803696236,0.5,0.25712973861328997,21,2.3333333333333335,0.21,3.0,1.2909944487358056,2.3333333333333335,1.224744871391589,4.465116279069767,1.843248132138873,0.14054513353696532,0.09748841258442388,0.1640625,0.12920746283547616,0.1111111111111111,0.0654595845555093
parkinsons,0.833421052631579,0.12402311413955913,0.7992105263157896,0.06777756333566831,0.8076315789473684,0.1537239093963541,0.6957894736842104,0.17427773831098167,0.7568421052631578,0.12344570758368709,0.7171052631578947,0.10512600714216566,0.7328947368421053,0.07496023363527062,15,4.2,1.01418510567422,0.06666666666666667,0.13044202402027594,75.2,39.6614242234009,0.5,0.04714045207910316,14,0.6363636363636364,0.07179487179487179,2.3333333333333335,1.3662601021279464,1.5555555555555556,1.0137937550497034,3.3793103448275863,1.4494775685311163,0.19028747628660592,0.15538328438946714,0.24375,0.09896224929595267,0.045454545454545456,0.09529737812439798
planning-relax,0.7146198830409357,0.016027138238670136,0.6099415204678362,0.06538501041200073,0.7035087719298245,0.044604888062264564,0.642982456140351,0.10139684969587758,0.5827485380116959,0.08892446964088738,0.7146198830409357,0.016027138238670136,0.7201754385964912,0.02567814585800983,38,8.710526315789474,2.8179721934526865,0.02631578947368421,0.03324204406617411,4031.878210678212,3867.3429028809514,0.5,0.03721614637823934,37,3.0833333333333335,0.2032967032967033,3.0833333333333335,2.0652243256245835,3.0833333333333335,1.5050420310248862,7.84,2.9456335068634654,0.07655022773475281,0.13043395062205296,0.06519839638157894,0.12403116501103681,0.08333333333333333,0.05420824153035351
heart-long-beach,0.275,0.067700320038633,0.295,0.07975657409336934,0.38,0.1437590576856522,0.10500000000000001,0.036893239368631085,0.315,0.08834905520465715,0.265,0.03374742788552764,0.275,0.02635231383473649,91,8.032967032967033,2.2629899074285156,0.01098901098901099,0.008407000397148538,6965.02803862804,10727.63416705801,0.19999999999999998,0.09239922202012267,90,6.923076923076923,0.45,6.923076923076923,4.645096670352844,8.181818181818182,4.622081388685877,7.082872928176796,2.583878336142255,0.08022810187359491,0.0812640834351607,0.05795791122939561,0.06907099941575345,0.0769230769230769,0.05972313977981587
heart-switzerland,0.2865384615384616,0.07615056061672307,0.20512820512820512,0.12038090616242114,0.3910256410256411,0.13285719279239158,0.11153846153846154,0.12312588057624105,0.326923076923077,0.10781603257728943,0.4230769230769231,0.07315061012232346,0.38205128205128214,0.03641266393870223,61,7.459016393442623,2.5071482504484606,0.016393442622950824,0.015531917155412314,4408.019092019092,8041.76592798676,0.2,0.11900781254348548,60,5.0,0.4878048780487805,4.615384615384615,2.902253766140536,5.454545454545454,4.321195120881175,6.528925619834711,2.775110749037142,0.07826558645458655,0.11948567678075914,0.08088258837090163,0.08268115939583795,0.08333333333333333,0.0755204010719021
robot-failures-lp4,0.6848484848484848,0.06509080250039867,0.6848484848484848,0.15587989275467068,0.5992424242424242,0.13026240459790148,0.8636363636363636,0.15987062415499406,0.8878787878787879,0.09365929785715019,0.5734848484848485,0.12068752219035614,0.615909090909091,0.03607665941513509,14,5.142857142857143,2.0326997151247235,0.07142857142857142,0.12038882476616179,158.7238095238095,147.83483243166233,0.3333333333333333,0.10910894511799618,13,0.14444444444444443,0.1111111111111111,1.625,0.7440238091428449,1.0,0.0,4.37037037037037,2.1688023662159037,0.1328474557790727,0.13019411600529007,0.18359375,0.13947681635914513,0.011111111111111112,0.04034585828678342
robot-failures-lp5,0.3584558823529412,0.0918913375993503,0.4389705882352941,0.11198593515795909,0.39338235294117646,0.1446286126659993,0.575,0.11074526467798383,0.6819852941176471,0.08900214829429465,0.2867647058823529,0.040939443844338404,0.3544117647058823,0.059134187846299584,27,5.222222222222222,1.0127393670836664,0.03703703703703704,0.05762178806984076,216.13333333333333,80.90906576569108,0.2,0.13250773199998753,26,0.28888888888888886,0.15853658536585366,4.333333333333333,2.6583202716502514,1.2380952380952381,0.5389584311207967,4.339622641509434,1.5183923206725933,0.20945279741119793,0.030016434132853844,0.15393518518518517,0.09128404508710374,0.011111111111111112,0.030233379662879784
Smartphone-Based_Recognition_of_Human_Activities,0.33333333333333337,5.851389114294502e-17,0.48888888888888893,0.11944085553034889,0.961111111111111,0.02683588286331379,0.8722222222222221,0.08302411767207366,0.9277777777777778,0.05885277252618777,0.33333333333333337,5.851389114294502e-17,0.3111111111111111,0.03884477215445005,8,3.625,1.3024701806293193,0.125,0.07046081628389851,32.13333333333333,13.205482267026902,0.16666666666666666,0.06454972243679029,7,0.10606060606060606,0.03888888888888889,1.4,0.5477225575051661,1.0,0.0,2.933333333333333,1.486446705914413,0.19706908487134,0.12184758058765026,0.2890625,0.11899645477912357,0.015151515151515152,0.05074043825778483
iris_test_upload,0.6666666666666667,1.1702778228589004e-16,0.9266666666666665,0.06629526173411687,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.5800000000000001,0.10909277963229844,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.6666666666666665,1.5275252316519465,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.44925548152944056
TuningSVMs,0.6191666666666666,0.19104367350212145,0.6729166666666667,0.08261846152758588,0.60125,0.10713457125514943,0.5141666666666665,0.08633930338288567,0.5875000000000001,0.13326097573678872,0.6479166666666667,0.024942062494538834,0.6541666666666667,0.02635231383473649,22,5.363636363636363,1.5597757636597749,0.04545454545454546,0.08235095542009781,221.5809523809524,131.57408448647783,0.5,0.06428243465332248,21,0.2625,0.1346153846153846,3.0,1.2909944487358056,1.1666666666666667,0.3834824944236852,4.511627906976744,1.8692001475453637,0.14143861308581587,0.09052819711186003,0.16264204545454544,0.1323112117852046,0.0125,0.032954606896425126
JuanFeldmanIris,0.6666666666666667,1.1702778228589004e-16,0.9266666666666665,0.06629526173411687,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.5666666666666667,0.10540925533894596,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.6666666666666665,1.5275252316519465,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.44925548152944056
iris-example,0.6666666666666667,1.1702778228589004e-16,0.9333333333333333,0.07027283689263064,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.5933333333333333,0.0798145999825243,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.6666666666666665,1.1547005383792515,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.44888544020359966
iriiiiiis,0.6666666666666667,1.1702778228589004e-16,0.9400000000000001,0.06629526173411687,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.5599999999999999,0.07825251938515114,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.0,1.4142135623730951,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.4487534065700905
iris_reproduced,0.6666666666666667,1.1702778228589004e-16,0.9400000000000001,0.049190985824841445,0.9800000000000001,0.04499657051403685,0.9533333333333334,0.04499657051403685,0.96,0.05621826951410451,0.6666666666666667,1.1702778228589004e-16,0.5733333333333334,0.10976968031314192,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.6666666666666665,1.5275252316519465,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.44925548152944056
